Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.127,0.0135,0,0,0.61,0.62
0日00:00:01,5.142,0.0589,0.0001,0,3.29,3.3
0日00:00:02,5.152,0.0712,0.0002,0,6.54,6.54
0日00:00:03,5.141,0.0708,0.0003,0.0001,9.76,9.77
0日00:00:04,5.15,0.0705,0.0004,0.0001,12.98,12.98
0日00:00:05,5.15,0.0692,0.0005,0.0001,16.13,16.14
0日00:00:06,5.15,0.0687,0.0006,0.0001,19.26,19.27
0日00:00:07,5.15,0.0682,0.0007,0.0001,22.37,22.37
0日00:00:08,5.148,0.0771,0.0008,0.0002,25.89,25.89
0日00:00:09,5.145,0.0749,0.0009,0.0002,29.3,29.3
0日00:00:10,5.144,0.0678,0.001,0.0002,32.38,32.39
0日00:00:11,5.15,0.0668,0.0011,0.0002,35.43,35.43
0日00:00:12,5.15,0.0668,0.0012,0.0002,38.48,38.48
0日00:00:13,5.15,0.0675,0.0013,0.0003,41.55,41.55
0日00:00:14,5.15,0.0674,0.0014,0.0003,44.63,44.62
0日00:00:15,5.147,0.0857,0.0015,0.0003,48.53,48.53
0日00:00:16,5.146,0.0859,0.0016,0.0003,52.44,52.44
0日00:00:17,5.145,0.0679,0.0017,0.0003,55.54,55.54
0日00:00:18,5.149,0.0673,0.0018,0.0004,58.6,58.6
0日00:00:19,5.15,0.0674,0.0019,0.0004,61.68,61.67
0日00:00:20,5.15,0.0673,0.002,0.0004,64.74,64.74
0日00:00:21,5.15,0.0673,0.0021,0.0004,67.81,67.81
0日00:00:22,5.145,0.0854,0.0022,0.0004,71.7,71.7
0日00:00:23,5.145,0.0857,0.0024,0.0005,75.6,75.6
0日00:00:24,5.144,0.0996,0.0025,0.0005,80.14,80.14
0日00:00:25,5.147,0.0674,0.0026,0.0005,83.21,83.21
0日00:00:26,5.15,0.0674,0.0027,0.0005,86.28,86.28
0日00:00:27,5.149,0.0673,0.0028,0.0005,89.35,89.35
0日00:00:28,5.149,0.0677,0.0029,0.0006,92.44,92.44
0日00:00:29,5.148,0.0795,0.003,0.0006,96.06,96.06
0日00:00:30,5.147,0.0865,0.0031,0.0006,100,100
0日00:00:31,5.12,0.1562,0.0034,0.0007,107.08,107.12
