Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.165,0.0001,0,0,0,0
0日00:00:01,5.148,0.0586,0.0001,0,2.38,2.38
0日00:00:02,5.148,0.0668,0.0002,0,5.09,5.09
0日00:00:03,5.135,0.135,0.0004,0.0001,10.56,10.56
0日00:00:04,5.141,0.0712,0.0005,0.0001,13.44,13.45
0日00:00:05,5.145,0.0701,0.0006,0.0001,16.28,16.29
0日00:00:06,5.144,0.0694,0.0007,0.0001,19.1,19.1
0日00:00:07,5.145,0.0686,0.0008,0.0001,21.88,21.88
0日00:00:08,5.143,0.0867,0.0009,0.0002,25.39,25.4
0日00:00:09,5.14,0.0865,0.001,0.0002,28.9,28.9
0日00:00:10,5.138,0.1199,0.0012,0.0002,33.75,33.76
0日00:00:11,5.142,0.0689,0.0013,0.0003,36.55,36.55
0日00:00:12,5.145,0.0682,0.0014,0.0003,39.31,39.32
0日00:00:13,5.145,0.0681,0.0015,0.0003,42.07,42.08
0日00:00:14,5.145,0.0678,0.0016,0.0003,44.82,44.83
0日00:00:15,5.142,0.0863,0.0017,0.0003,48.32,48.33
0日00:00:16,5.14,0.0862,0.0018,0.0004,51.81,51.82
0日00:00:17,5.139,0.1559,0.002,0.0004,58.13,58.14
0日00:00:18,5.14,0.0678,0.0021,0.0004,60.87,60.89
0日00:00:19,5.145,0.0678,0.0022,0.0004,63.62,63.64
0日00:00:20,5.145,0.0678,0.0023,0.0005,66.37,66.38
0日00:00:21,5.145,0.0678,0.0024,0.0005,69.12,69.13
0日00:00:22,5.144,0.086,0.0026,0.0005,72.61,72.62
0日00:00:23,5.142,0.0664,0.0027,0.0005,75.3,75.31
0日00:00:24,5.141,0.0675,0.0028,0.0005,78.04,78.05
0日00:00:25,5.141,0.0786,0.0029,0.0006,81.22,81.23
0日00:00:26,5.144,0.0676,0.003,0.0006,83.96,83.97
0日00:00:27,5.149,0.0537,0.003,0.0006,86.14,86.15
0日00:00:28,5.149,0.0537,0.0031,0.0006,88.32,88.33
0日00:00:29,5.148,0.0534,0.0032,0.0006,90.49,90.49
0日00:00:30,5.148,0.0537,0.0033,0.0006,92.66,92.67
0日00:00:31,5.148,0.0537,0.0033,0.0006,94.84,94.84
0日00:00:32,5.143,0.1272,0.0035,0.0007,100,100
0日00:00:33,5.136,0.0791,0.0036,0.0007,103.2,103.21
