Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.292,0.0484,0.0001,0,2.08,2.08
0日00:00:01,5.28,0.0619,0.0002,0,4.74,4.73
0日00:00:02,5.273,0.0871,0.0003,0.0001,8.48,8.47
0日00:00:03,5.258,0.0749,0.0004,0.0001,11.68,11.68
0日00:00:04,5.276,0.0736,0.0005,0.0001,14.84,14.84
0日00:00:05,5.276,0.0731,0.0006,0.0001,17.97,17.97
0日00:00:06,5.277,0.0726,0.0007,0.0001,21.09,21.09
0日00:00:07,5.277,0.0771,0.0008,0.0002,24.4,24.4
0日00:00:08,5.274,0.0852,0.001,0.0002,28.05,28.05
0日00:00:09,5.273,0.1224,0.0011,0.0002,33.3,33.3
0日00:00:10,5.273,0.0898,0.0013,0.0002,37.15,37.15
0日00:00:11,5.273,0.0736,0.0014,0.0003,40.3,40.31
0日00:00:12,5.28,0.0575,0.0015,0.0003,42.77,42.78
0日00:00:13,5.281,0.0569,0.0015,0.0003,45.22,45.22
0日00:00:14,5.28,0.0571,0.0016,0.0003,47.67,47.67
0日00:00:15,5.28,0.0573,0.0017,0.0003,50.13,50.13
0日00:00:16,5.281,0.0572,0.0018,0.0003,52.58,52.58
0日00:00:17,5.28,0.0696,0.0019,0.0004,55.57,55.57
0日00:00:18,5.262,0.0692,0.002,0.0004,58.53,58.53
0日00:00:19,5.273,0.0825,0.0021,0.0004,62.07,62.07
0日00:00:20,5.274,0.0688,0.0022,0.0004,65.02,65.03
0日00:00:21,5.28,0.0569,0.0023,0.0004,67.46,67.47
0日00:00:22,5.28,0.0565,0.0024,0.0005,69.89,69.89
0日00:00:23,5.281,0.0567,0.0025,0.0005,72.33,72.32
0日00:00:24,5.281,0.0567,0.0026,0.0005,74.76,74.75
0日00:00:25,5.281,0.0567,0.0026,0.0005,77.19,77.19
0日00:00:26,5.27,0.1352,0.0028,0.0005,82.99,82.99
0日00:00:27,5.263,0.0822,0.003,0.0006,86.51,86.51
0日00:00:28,5.273,0.0836,0.0031,0.0006,90.09,90.1
0日00:00:29,5.276,0.0609,0.0032,0.0006,92.7,92.71
0日00:00:30,5.281,0.0567,0.0032,0.0006,95.14,95.14
0日00:00:31,5.281,0.0565,0.0033,0.0006,97.57,97.57
0日00:00:32,5.281,0.0567,0.0034,0.0006,100,100
0日00:00:33,5.28,0.0567,0.0035,0.0007,102.43,102.43
