Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.124,0.0395,0.0001,0,1.93,1.94
0日00:00:01,5.139,0.0594,0.0001,0,4.84,4.85
0日00:00:02,5.15,0.0717,0.0002,0,8.36,8.36
0日00:00:03,5.141,0.0715,0.0003,0.0001,11.86,11.87
0日00:00:04,5.146,0.0702,0.0004,0.0001,15.3,15.31
0日00:00:05,5.147,0.07,0.0005,0.0001,18.74,18.74
0日00:00:06,5.147,0.0691,0.0006,0.0001,22.12,22.13
0日00:00:07,5.147,0.0726,0.0007,0.0001,25.69,25.69
0日00:00:08,5.144,0.0869,0.0009,0.0002,29.95,29.95
0日00:00:09,5.144,0.085,0.001,0.0002,34.11,34.11
0日00:00:10,5.126,0.069,0.0011,0.0002,37.48,37.5
0日00:00:11,5.147,0.0683,0.0012,0.0002,40.83,40.84
0日00:00:12,5.147,0.0683,0.0013,0.0003,44.18,44.19
0日00:00:13,5.147,0.0683,0.0014,0.0003,47.53,47.54
0日00:00:14,5.147,0.0683,0.0015,0.0003,50.88,50.89
0日00:00:15,5.142,0.0868,0.0016,0.0003,55.14,55.14
0日00:00:16,5.142,0.141,0.0018,0.0004,62.04,62.05
0日00:00:17,5.142,0.0826,0.0019,0.0004,66.09,66.1
0日00:00:18,5.142,0.0845,0.002,0.0004,70.23,70.25
0日00:00:19,5.146,0.0562,0.0021,0.0004,72.99,73
0日00:00:20,5.151,0.0538,0.0022,0.0004,75.63,75.64
0日00:00:21,5.15,0.0542,0.0023,0.0004,78.29,78.29
0日00:00:22,5.15,0.0543,0.0024,0.0005,80.95,80.96
0日00:00:23,5.15,0.0543,0.0024,0.0005,83.62,83.62
0日00:00:24,5.15,0.0563,0.0025,0.0005,86.38,86.38
0日00:00:25,5.139,0.0664,0.0026,0.0005,89.63,89.63
0日00:00:26,5.14,0.0901,0.0027,0.0005,94.05,94.05
0日00:00:27,5.142,0.0671,0.0028,0.0006,97.34,97.34
0日00:00:28,5.15,0.0543,0.0029,0.0006,100,100
0日00:00:29,5.15,0.0537,0.003,0.0006,102.64,102.63
