Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.158,0.0001,0,0,0,0
0日00:00:01,5.141,0.0575,0.0001,0,2.77,2.76
0日00:00:02,5.14,0.0593,0.0002,0,5.61,5.61
0日00:00:03,5.131,0.1039,0.0003,0.0001,10.59,10.59
0日00:00:04,5.134,0.072,0.0004,0.0001,14.04,14.04
0日00:00:05,5.137,0.0718,0.0005,0.0001,17.49,17.49
0日00:00:06,5.137,0.0707,0.0006,0.0001,20.88,20.88
0日00:00:07,5.137,0.0701,0.0007,0.0001,24.25,24.24
0日00:00:08,5.137,0.0872,0.0008,0.0002,28.43,28.42
0日00:00:09,5.135,0.0681,0.0009,0.0002,31.7,31.69
0日00:00:10,5.135,0.0861,0.0011,0.0002,35.82,35.82
0日00:00:11,5.134,0.0799,0.0012,0.0002,39.66,39.65
0日00:00:12,5.137,0.0683,0.0013,0.0002,42.93,42.93
0日00:00:13,5.141,0.0543,0.0014,0.0003,45.54,45.53
0日00:00:14,5.131,0.0722,0.0015,0.0003,49,49
0日00:00:15,5.132,0.0897,0.0016,0.0003,53.3,53.3
0日00:00:16,5.133,0.0662,0.0017,0.0003,56.47,56.48
0日00:00:17,5.139,0.0621,0.0018,0.0003,59.45,59.45
0日00:00:18,5.141,0.0546,0.0018,0.0004,62.08,62.07
0日00:00:19,5.129,0.0663,0.0019,0.0004,65.25,65.25
0日00:00:20,5.131,0.0899,0.0021,0.0004,69.56,69.57
0日00:00:21,5.136,0.0661,0.0022,0.0004,72.73,72.74
0日00:00:22,5.142,0.0546,0.0022,0.0004,75.35,75.35
0日00:00:23,5.141,0.0657,0.0023,0.0005,78.51,78.51
0日00:00:24,5.136,0.0767,0.0024,0.0005,82.19,82.19
0日00:00:25,5.134,0.0785,0.0026,0.0005,85.95,85.95
0日00:00:26,5.138,0.0662,0.0027,0.0005,89.13,89.13
0日00:00:27,5.141,0.0543,0.0027,0.0005,91.74,91.73
0日00:00:28,5.131,0.0825,0.0028,0.0006,95.69,95.69
0日00:00:29,5.132,0.0899,0.003,0.0006,100,100
0日00:00:30,5.132,0.0833,0.0031,0.0006,103.99,104
