Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.156,0.0001,0,0,0,0
0日00:00:01,5.14,0.062,0.0001,0,2.95,2.94
0日00:00:02,5.139,0.0593,0.0002,0,5.76,5.75
0日00:00:03,5.107,0.1513,0.0004,0.0001,12.9,12.92
0日00:00:04,5.123,0.0719,0.0005,0.0001,16.3,16.33
0日00:00:05,5.135,0.0708,0.0006,0.0001,19.66,19.69
0日00:00:06,5.135,0.0709,0.0007,0.0001,23.02,23.05
0日00:00:07,5.135,0.0708,0.0008,0.0002,26.37,26.4
0日00:00:08,5.135,0.0824,0.0009,0.0002,30.28,30.31
0日00:00:09,5.134,0.0701,0.001,0.0002,33.61,33.63
0日00:00:10,5.134,0.0868,0.0011,0.0002,37.72,37.74
0日00:00:11,5.133,0.0786,0.0012,0.0002,41.45,41.47
0日00:00:12,5.137,0.0551,0.0013,0.0003,44.06,44.08
0日00:00:13,5.137,0.0878,0.0015,0.0003,48.22,48.24
0日00:00:14,5.128,0.0903,0.0016,0.0003,52.5,52.52
0日00:00:15,5.132,0.061,0.0017,0.0003,55.39,55.41
0日00:00:16,5.139,0.0567,0.0017,0.0003,58.08,58.09
0日00:00:17,5.136,0.0668,0.0018,0.0004,61.25,61.26
0日00:00:18,5.129,0.0887,0.002,0.0004,65.45,65.46
0日00:00:19,5.131,0.055,0.002,0.0004,68.06,68.07
0日00:00:20,5.139,0.0574,0.0021,0.0004,70.78,70.79
0日00:00:21,5.136,0.0666,0.0022,0.0004,73.94,73.95
0日00:00:22,5.13,0.0756,0.0023,0.0005,77.52,77.53
0日00:00:23,5.135,0.0543,0.0024,0.0005,80.1,80.1
0日00:00:24,5.137,0.0659,0.0025,0.0005,83.22,83.22
0日00:00:25,5.129,0.0897,0.0026,0.0005,87.47,87.48
0日00:00:26,5.13,0.0746,0.0027,0.0005,91.01,91.01
0日00:00:27,5.139,0.0556,0.0028,0.0005,93.64,93.65
0日00:00:28,5.136,0.0671,0.0029,0.0006,96.83,96.82
0日00:00:29,5.13,0.067,0.003,0.0006,100,100
0日00:00:30,5.132,0.0553,0.0031,0.0006,102.62,102.62
