Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),,
0日00:01:25,5.183,0.0532,0.008,0.0015,88.88,88.9,,
0日00:01:26,5.182,0.0532,0.0081,0.0016,89.73,89.75,,
0日00:01:27,5.172,0.1002,0.0082,0.0016,91.33,91.35,,
0日00:01:28,5.173,0.0903,0.0084,0.0016,92.78,92.79,,
0日00:01:29,5.176,0.0657,0.0084,0.0016,93.82,93.84,,
0日00:01:30,5.182,0.053,0.0085,0.0016,94.67,94.68,,
0日00:01:31,5.182,0.0531,0.0086,0.0017,95.52,95.53,,
0日00:01:32,5.182,0.0533,0.0087,0.0017,96.37,96.38,,
0日00:01:33,5.182,0.0533,0.0088,0.0017,97.23,97.23,,
0日00:01:34,5.182,0.0534,0.0088,0.0017,98.08,98.08,,
0日00:01:35,5.178,0.1201,0.009,0.0017,100,100,,
0日00:01:36,5.169,0.0765,0.0091,0.0018,101.22,101.22,,
