Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.158,0.0001,0,0,0,0
0日00:00:01,5.134,0.0581,0.0001,0,2.77,2.77
0日00:00:02,5.139,0.0635,0.0002,0,5.8,5.8
0日00:00:03,5.132,0.0719,0.0003,0.0001,9.22,9.22
0日00:00:04,5.137,0.0709,0.0004,0.0001,12.59,12.6
0日00:00:05,5.138,0.07,0.0005,0.0001,15.93,15.93
0日00:00:06,5.138,0.0699,0.0006,0.0001,19.26,19.26
0日00:00:07,5.139,0.0691,0.0007,0.0001,22.55,22.55
0日00:00:08,5.138,0.0867,0.0008,0.0002,26.68,26.68
0日00:00:09,5.137,0.0932,0.0009,0.0002,31.12,31.12
0日00:00:10,5.136,0.0865,0.0011,0.0002,35.24,35.24
0日00:00:11,5.136,0.0683,0.0012,0.0002,38.49,38.49
0日00:00:12,5.137,0.0666,0.0012,0.0002,41.66,41.66
0日00:00:13,5.142,0.0544,0.0013,0.0003,44.25,44.25
0日00:00:14,5.136,0.0664,0.0014,0.0003,47.41,47.41
0日00:00:15,5.135,0.09,0.0015,0.0003,51.7,51.7
0日00:00:16,5.135,0.0664,0.0016,0.0003,54.86,54.86
0日00:00:17,5.142,0.0545,0.0017,0.0003,57.46,57.46
0日00:00:18,5.142,0.0638,0.0018,0.0004,60.5,60.5
0日00:00:19,5.139,0.0664,0.0019,0.0004,63.66,63.66
0日00:00:20,5.132,0.0888,0.002,0.0004,67.89,67.89
0日00:00:21,5.139,0.0661,0.0021,0.0004,71.04,71.04
0日00:00:22,5.14,0.0542,0.0022,0.0004,73.62,73.62
0日00:00:23,5.14,0.1016,0.0024,0.0005,78.46,78.46
0日00:00:24,5.132,0.0896,0.0025,0.0005,82.72,82.72
0日00:00:25,5.132,0.0873,0.0026,0.0005,86.88,86.88
0日00:00:26,5.138,0.0658,0.0027,0.0005,90.01,90.01
0日00:00:27,5.141,0.0541,0.0028,0.0005,92.59,92.59
0日00:00:28,5.138,0.0659,0.0029,0.0006,95.73,95.73
0日00:00:29,5.136,0.0897,0.003,0.0006,100,100
0日00:00:30,5.135,0.066,0.0031,0.0006,103.14,103.14
