Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.161,0.0091,0,0,0.47,0.47
0日00:00:01,5.144,0.0582,0.0001,0,3.44,3.44
0日00:00:02,5.144,0.0715,0.0002,0,7.1,7.1
0日00:00:03,5.132,0.072,0.0003,0.0001,10.78,10.78
0日00:00:04,5.142,0.0708,0.0004,0.0001,14.4,14.4
0日00:00:05,5.142,0.0709,0.0005,0.0001,18.03,18.02
0日00:00:06,5.142,0.0708,0.0006,0.0001,21.65,21.64
0日00:00:07,5.142,0.0693,0.0007,0.0001,25.19,25.19
0日00:00:08,5.139,0.0871,0.0008,0.0002,29.64,29.64
0日00:00:09,5.137,0.1538,0.001,0.0002,37.5,37.51
0日00:00:10,5.138,0.0866,0.0012,0.0002,41.93,41.93
0日00:00:11,5.138,0.0808,0.0013,0.0003,46.06,46.07
0日00:00:12,5.142,0.0655,0.0014,0.0003,49.41,49.41
0日00:00:13,5.146,0.0546,0.0015,0.0003,52.2,52.21
0日00:00:14,5.146,0.0544,0.0015,0.0003,54.98,54.99
0日00:00:15,5.146,0.0545,0.0016,0.0003,57.77,57.77
0日00:00:16,5.146,0.0545,0.0017,0.0003,60.56,60.56
0日00:00:17,5.146,0.0618,0.0018,0.0003,63.73,63.72
0日00:00:18,5.131,0.0828,0.0019,0.0004,67.95,67.96
0日00:00:19,5.136,0.0899,0.002,0.0004,72.54,72.55
0日00:00:20,5.141,0.0661,0.0021,0.0004,75.92,75.93
0日00:00:21,5.145,0.0546,0.0022,0.0004,78.72,78.72
0日00:00:22,5.145,0.0541,0.0023,0.0004,81.49,81.49
0日00:00:23,5.146,0.0542,0.0024,0.0005,84.26,84.26
0日00:00:24,5.146,0.0543,0.0024,0.0005,87.04,87.04
0日00:00:25,5.146,0.0543,0.0025,0.0005,89.82,89.81
0日00:00:26,5.146,0.06,0.0026,0.0005,92.89,92.88
0日00:00:27,5.134,0.0663,0.0027,0.0005,96.28,96.27
0日00:00:28,5.135,0.0729,0.0028,0.0005,100,100
0日00:00:29,5.141,0.0647,0.0029,0.0006,103.31,103.31
