Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:01:31,5.152,0.0599,0.0074,0.0014,56.03,56.03
0日00:01:32,5.152,0.0567,0.0075,0.0015,56.64,56.64
0日00:01:33,5.152,0.0599,0.0076,0.0015,57.28,57.28
0日00:01:34,5.152,0.0567,0.0077,0.0015,57.89,57.89
0日00:01:35,5.152,0.0582,0.0078,0.0015,58.52,58.52
0日00:01:36,5.152,0.058,0.0079,0.0015,59.15,59.15
0日00:01:37,5.152,0.0591,0.0079,0.0015,59.78,59.78
0日00:01:38,5.152,0.0573,0.008,0.0016,60.4,60.4
0日00:01:39,5.152,0.0598,0.0081,0.0016,61.04,61.05
0日00:01:40,5.152,0.0567,0.0082,0.0016,61.66,61.66
0日00:01:41,5.152,0.06,0.0083,0.0016,62.3,62.3
0日00:01:42,5.152,0.0567,0.0084,0.0016,62.91,62.91
0日00:01:43,5.152,0.06,0.0084,0.0016,63.56,63.56
0日00:01:44,5.152,0.0568,0.0085,0.0017,64.17,64.17
0日00:01:45,5.152,0.06,0.0086,0.0017,64.82,64.82
0日00:01:46,5.152,0.0565,0.0087,0.0017,65.43,65.43
0日00:01:47,5.152,0.0602,0.0088,0.0017,66.08,66.08
0日00:01:48,5.152,0.0564,0.0089,0.0017,66.69,66.69
0日00:01:49,5.152,0.0595,0.0089,0.0017,67.33,67.33
0日00:01:50,5.152,0.0568,0.009,0.0018,67.94,67.94
0日00:01:51,5.152,0.0601,0.0091,0.0018,68.59,68.59
0日00:01:52,5.152,0.0566,0.0092,0.0018,69.2,69.2
0日00:01:53,5.152,0.0599,0.0093,0.0018,69.84,69.84
0日00:01:54,5.152,0.0567,0.0094,0.0018,70.45,70.45
0日00:01:55,5.152,0.0599,0.0094,0.0018,71.1,71.1
0日00:01:56,5.152,0.0587,0.0095,0.0018,71.73,71.73
0日00:01:57,5.152,0.0584,0.0096,0.0019,72.36,72.36
0日00:01:58,5.152,0.0579,0.0097,0.0019,72.98,72.99
0日00:01:59,5.152,0.0603,0.0098,0.0019,73.63,73.63
0日00:02:00,5.152,0.0565,0.0099,0.0019,74.24,74.24
0日00:02:01,5.152,0.0599,0.0099,0.0019,74.89,74.89
0日00:02:02,5.152,0.0565,0.01,0.0019,75.5,75.5
0日00:02:03,5.152,0.0599,0.0101,0.002,76.14,76.14
0日00:02:04,5.152,0.0567,0.0102,0.002,76.76,76.76
0日00:02:05,5.152,0.0599,0.0103,0.002,77.4,77.4
0日00:02:06,5.152,0.0567,0.0104,0.002,78.01,78.01
0日00:02:07,5.152,0.06,0.0104,0.002,78.66,78.66
0日00:02:08,5.152,0.0565,0.0105,0.002,79.27,79.27
0日00:02:09,5.152,0.06,0.0106,0.0021,79.91,79.91
0日00:02:10,5.152,0.0572,0.0107,0.0021,80.53,80.53
0日00:02:11,5.152,0.0596,0.0108,0.0021,81.17,81.17
0日00:02:12,5.152,0.0567,0.0109,0.0021,81.78,81.78
0日00:02:13,5.152,0.06,0.0109,0.0021,82.43,82.43
0日00:02:14,5.152,0.0567,0.011,0.0021,83.04,83.04
0日00:02:15,5.152,0.0599,0.0111,0.0022,83.69,83.69
0日00:02:16,5.152,0.0567,0.0112,0.0022,84.3,84.3
0日00:02:17,5.152,0.0578,0.0113,0.0022,84.92,84.92
0日00:02:18,5.152,0.0583,0.0114,0.0022,85.55,85.55
0日00:02:19,5.152,0.06,0.0114,0.0022,86.2,86.2
0日00:02:20,5.152,0.0563,0.0115,0.0022,86.8,86.8
0日00:02:21,5.152,0.0601,0.0116,0.0023,87.45,87.45
0日00:02:22,5.152,0.0564,0.0117,0.0023,88.06,88.06
0日00:02:23,5.152,0.0599,0.0118,0.0023,88.7,88.7
0日00:02:24,5.152,0.0564,0.0119,0.0023,89.31,89.31
0日00:02:25,5.152,0.0599,0.0119,0.0023,89.96,89.96
0日00:02:26,5.152,0.0566,0.012,0.0023,90.57,90.57
0日00:02:27,5.152,0.0598,0.0121,0.0024,91.21,91.21
0日00:02:28,5.152,0.0566,0.0122,0.0024,91.82,91.82
0日00:02:29,5.152,0.06,0.0123,0.0024,92.47,92.47
0日00:02:30,5.152,0.0563,0.0124,0.0024,93.08,93.08
0日00:02:31,5.152,0.0591,0.0124,0.0024,93.71,93.71
