Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.156,0.0001,0,0,0,0
0日00:00:01,5.139,0.0579,0.0001,0,2.73,2.72
0日00:00:02,5.139,0.0873,0.0002,0,6.83,6.82
0日00:00:03,5.131,0.072,0.0003,0.0001,10.21,10.2
0日00:00:04,5.136,0.0718,0.0004,0.0001,13.58,13.58
0日00:00:05,5.137,0.0707,0.0005,0.0001,16.9,16.9
0日00:00:06,5.137,0.0702,0.0006,0.0001,20.2,20.19
0日00:00:07,5.137,0.0695,0.0007,0.0001,23.46,23.46
0日00:00:08,5.132,0.0817,0.0008,0.0002,27.3,27.29
0日00:00:09,5.134,0.0691,0.0009,0.0002,30.54,30.54
0日00:00:10,5.133,0.0867,0.0011,0.0002,34.61,34.61
0日00:00:11,5.134,0.0596,0.0011,0.0002,37.41,37.41
0日00:00:12,5.14,0.0565,0.0012,0.0002,40.07,40.06
0日00:00:13,5.137,0.0666,0.0013,0.0003,43.19,43.19
0日00:00:14,5.13,0.0876,0.0014,0.0003,47.3,47.3
0日00:00:15,5.14,0.0544,0.0015,0.0003,49.86,49.86
0日00:00:16,5.135,0.0875,0.0016,0.0003,53.97,53.97
0日00:00:17,5.135,0.0865,0.0018,0.0003,58.03,58.03
0日00:00:18,5.134,0.0874,0.0019,0.0004,62.14,62.13
0日00:00:19,5.137,0.0541,0.002,0.0004,64.68,64.67
0日00:00:20,5.137,0.0662,0.0021,0.0004,67.79,67.78
0日00:00:21,5.129,0.09,0.0022,0.0004,72.01,72.01
0日00:00:22,5.134,0.0546,0.0023,0.0004,74.57,74.57
0日00:00:23,5.139,0.0543,0.0023,0.0005,77.12,77.12
0日00:00:24,5.135,0.0661,0.0024,0.0005,80.23,80.23
0日00:00:25,5.133,0.09,0.0026,0.0005,84.45,84.45
0日00:00:26,5.134,0.0543,0.0026,0.0005,87,87
0日00:00:27,5.139,0.0647,0.0027,0.0005,90.04,90.04
0日00:00:28,5.134,0.0778,0.0028,0.0006,93.69,93.69
0日00:00:29,5.13,0.08,0.003,0.0006,97.45,97.45
0日00:00:30,5.14,0.0543,0.003,0.0006,100,100
0日00:00:31,5.135,0.0874,0.0032,0.0006,104.1,104.1
