Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.116,0.0001,0,0,0,0
0日00:00:01,5.116,0.0001,0,0,0.01,0.01
0日00:00:02,5.117,0.0534,0.0001,0,2.44,2.44
0日00:00:03,5.139,0.0597,0.0002,0,5.16,5.17
0日00:00:04,5.138,0.1004,0.0003,0.0001,9.74,9.75
0日00:00:05,5.13,0.0711,0.0004,0.0001,12.98,12.99
0日00:00:06,5.138,0.0701,0.0005,0.0001,16.18,16.18
0日00:00:07,5.138,0.0697,0.0006,0.0001,19.36,19.36
0日00:00:08,5.138,0.0695,0.0007,0.0001,22.53,22.53
0日00:00:09,5.138,0.0688,0.0008,0.0002,25.67,25.67
0日00:00:10,5.136,0.0782,0.0009,0.0002,29.23,29.24
0日00:00:11,5.136,0.0689,0.001,0.0002,32.38,32.38
0日00:00:12,5.135,0.0865,0.0011,0.0002,36.32,36.32
0日00:00:13,5.136,0.0563,0.0012,0.0002,38.89,38.89
0日00:00:14,5.141,0.065,0.0013,0.0003,41.86,41.86
0日00:00:15,5.135,0.079,0.0014,0.0003,45.46,45.46
0日00:00:16,5.132,0.0808,0.0015,0.0003,49.14,49.14
0日00:00:17,5.142,0.054,0.0016,0.0003,51.61,51.61
0日00:00:18,5.134,0.0848,0.0017,0.0003,55.47,55.47
0日00:00:19,5.134,0.0897,0.0019,0.0004,59.56,59.56
0日00:00:20,5.134,0.0835,0.002,0.0004,63.37,63.37
0日00:00:21,5.138,0.0541,0.0021,0.0004,65.84,65.84
0日00:00:22,5.139,0.0662,0.0022,0.0004,68.86,68.86
0日00:00:23,5.136,0.0661,0.0022,0.0004,71.87,71.87
0日00:00:24,5.137,0.0545,0.0023,0.0005,74.36,74.36
0日00:00:25,5.14,0.0611,0.0024,0.0005,77.15,77.14
0日00:00:26,5.139,0.0659,0.0025,0.0005,80.15,80.15
0日00:00:27,5.131,0.0903,0.0026,0.0005,84.27,84.27
0日00:00:28,5.14,0.0542,0.0027,0.0005,86.74,86.74
0日00:00:29,5.138,0.0867,0.0028,0.0006,90.7,90.69
0日00:00:30,5.13,0.09,0.003,0.0006,94.8,94.8
0日00:00:31,5.131,0.0606,0.0031,0.0006,97.56,97.56
0日00:00:32,5.141,0.0535,0.0031,0.0006,100,100
0日00:00:33,5.138,0.0658,0.0032,0.0006,103,103
