Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.163,0.0001,0,0,0,0
0日00:00:01,5.146,0.0587,0.0001,0,2.92,2.92
0日00:00:02,5.146,0.0663,0.0002,0,6.21,6.21
0日00:00:03,5.124,0.0716,0.0003,0.0001,9.75,9.76
0日00:00:04,5.141,0.0704,0.0004,0.0001,13.24,13.25
0日00:00:05,5.143,0.0697,0.0005,0.0001,16.7,16.71
0日00:00:06,5.143,0.0696,0.0006,0.0001,20.16,20.16
0日00:00:07,5.143,0.0687,0.0007,0.0001,23.57,23.57
0日00:00:08,5.142,0.0867,0.0008,0.0002,27.87,27.87
0日00:00:09,5.139,0.1517,0.001,0.0002,35.39,35.39
0日00:00:10,5.14,0.0863,0.0011,0.0002,39.67,39.67
0日00:00:11,5.14,0.074,0.0012,0.0002,43.34,43.35
0日00:00:12,5.144,0.0639,0.0013,0.0003,46.51,46.52
0日00:00:13,5.147,0.054,0.0014,0.0003,49.19,49.19
0日00:00:14,5.147,0.054,0.0015,0.0003,51.87,51.87
0日00:00:15,5.147,0.054,0.0016,0.0003,54.56,54.55
0日00:00:16,5.147,0.0538,0.0016,0.0003,57.23,57.22
0日00:00:17,5.147,0.0556,0.0017,0.0003,59.99,59.98
0日00:00:18,5.131,0.1644,0.002,0.0004,68.13,68.13
0日00:00:19,5.137,0.0899,0.0021,0.0004,72.58,72.59
0日00:00:20,5.142,0.066,0.0022,0.0004,75.86,75.87
0日00:00:21,5.146,0.0539,0.0023,0.0004,78.54,78.54
0日00:00:22,5.147,0.0535,0.0023,0.0005,81.19,81.19
0日00:00:23,5.147,0.0537,0.0024,0.0005,83.86,83.86
0日00:00:24,5.147,0.0538,0.0025,0.0005,86.53,86.53
0日00:00:25,5.147,0.0538,0.0026,0.0005,89.2,89.2
0日00:00:26,5.147,0.0618,0.0027,0.0005,92.27,92.26
0日00:00:27,5.132,0.0661,0.0028,0.0005,95.54,95.54
0日00:00:28,5.136,0.0899,0.0029,0.0006,100,100
0日00:00:29,5.141,0.0659,0.003,0.0006,103.27,103.27
