Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%),,,
0日00:01:24,5.174,0.0905,0.0075,0.0014,25.27,25.27,,,
0日00:01:25,5.173,0.0803,0.0076,0.0015,25.66,25.66,,,
0日00:01:26,5.179,0.0608,0.0077,0.0015,25.96,25.95,,,
0日00:01:27,5.181,0.0531,0.0077,0.0015,26.21,26.21,,,
0日00:01:28,5.181,0.0534,0.0078,0.0015,26.47,26.47,,,
0日00:01:29,5.181,0.0534,0.0079,0.0015,26.73,26.73,,,
0日00:01:30,5.181,0.0535,0.008,0.0015,26.99,26.99,,,
0日00:01:31,5.181,0.0554,0.0081,0.0016,27.26,27.26,,,
0日00:01:32,5.177,0.0691,0.0082,0.0016,27.6,27.6,,,
0日00:01:33,5.175,0.0905,0.0083,0.0016,28.04,28.04,,,
0日00:01:34,5.174,0.0663,0.0084,0.0016,28.36,28.36,,,
0日00:01:35,5.18,0.0535,0.0085,0.0016,28.62,28.62,,,
0日00:01:36,5.181,0.0531,0.0085,0.0016,28.88,28.88,,,
0日00:01:37,5.181,0.0534,0.0086,0.0017,29.14,29.14,,,
0日00:01:38,5.181,0.0534,0.0087,0.0017,29.4,29.4,,,
0日00:01:39,5.181,0.0535,0.0088,0.0017,29.66,29.66,,,
0日00:01:40,5.181,0.064,0.0089,0.0017,29.98,29.97,,,
0日00:01:41,5.177,0.0724,0.009,0.0017,30.33,30.32,,,
0日00:01:42,5.173,0.0747,0.0091,0.0018,30.69,30.68,,,
0日00:01:43,5.177,0.0658,0.0092,0.0018,31.01,31,,,
0日00:01:44,5.181,0.0531,0.0092,0.0018,31.27,31.26,,,
0日00:01:45,5.181,0.0533,0.0093,0.0018,31.53,31.52,,,
0日00:01:46,5.181,0.0535,0.0094,0.0018,31.79,31.78,,,
0日00:01:47,5.181,0.0535,0.0095,0.0018,32.05,32.04,,,
0日00:01:48,5.181,0.0534,0.0095,0.0018,32.31,32.3,,,
0日00:01:49,5.176,0.1178,0.0097,0.0019,32.88,32.88,,,
0日00:01:50,5.176,0.0905,0.0098,0.0019,33.32,33.32,,,
0日00:01:51,5.173,0.0793,0.01,0.0019,33.71,33.7,,,
0日00:01:52,5.179,0.0603,0.01,0.0019,34,34,,,
0日00:01:53,5.181,0.053,0.0101,0.002,34.26,34.25,,,
0日00:01:54,5.181,0.0532,0.0102,0.002,34.52,34.51,,,
