Time,Voltage(V),Current(A),Energy(Wh),Capacity(Ah),Energy Proportion(%),Capacity Proportion(%)
0日00:00:00,5.122,0.063,0.0001,0,2.96,2.97
0日00:00:01,5.142,0.0589,0.0002,0,5.74,5.75
0日00:00:02,5.144,0.0719,0.0003,0.0001,9.14,9.14
0日00:00:03,5.133,0.0717,0.0004,0.0001,12.52,12.53
0日00:00:04,5.141,0.0707,0.0005,0.0001,15.85,15.86
0日00:00:05,5.142,0.0708,0.0006,0.0001,19.2,19.2
0日00:00:06,5.141,0.07,0.0007,0.0001,22.5,22.5
0日00:00:07,5.141,0.0693,0.0008,0.0002,25.77,25.77
0日00:00:08,5.137,0.0718,0.0009,0.0002,29.16,29.16
0日00:00:09,5.137,0.0692,0.001,0.0002,32.42,32.43
0日00:00:10,5.137,0.0866,0.0011,0.0002,36.51,36.51
0日00:00:11,5.138,0.0687,0.0012,0.0002,39.75,39.75
0日00:00:12,5.146,0.0545,0.0013,0.0002,42.32,42.32
0日00:00:13,5.146,0.0571,0.0014,0.0003,45.02,45.02
0日00:00:14,5.136,0.0667,0.0015,0.0003,48.17,48.16
0日00:00:15,5.136,0.0811,0.0016,0.0003,51.99,51.99
0日00:00:16,5.141,0.0664,0.0017,0.0003,55.12,55.12
0日00:00:17,5.145,0.0544,0.0017,0.0003,57.69,57.69
0日00:00:18,5.14,0.1298,0.0019,0.0004,63.82,63.81
0日00:00:19,5.14,0.0899,0.0021,0.0004,68.06,68.06
0日00:00:20,5.138,0.0802,0.0022,0.0004,71.84,71.84
0日00:00:21,5.141,0.0582,0.0023,0.0004,74.59,74.58
0日00:00:22,5.145,0.0559,0.0023,0.0005,77.23,77.22
0日00:00:23,5.13,0.0664,0.0024,0.0005,80.36,80.35
0日00:00:24,5.133,0.09,0.0026,0.0005,84.6,84.6
0日00:00:25,5.138,0.0659,0.0027,0.0005,87.71,87.71
0日00:00:26,5.139,0.0544,0.0027,0.0005,90.28,90.28
0日00:00:27,5.144,0.0567,0.0028,0.0005,92.95,92.95
0日00:00:28,5.141,0.0662,0.0029,0.0006,96.08,96.07
0日00:00:29,5.134,0.0832,0.003,0.0006,100,100
0日00:00:30,5.141,0.0661,0.0031,0.0006,103.12,103.12
